id,location_id,name,category,avg_rating,review_count,entry_fee,opening_hours,created_at,updated_at,latitude,longitude,description,best_season,avg_visit_time,transport,nearby_hotels,nearby_restaurants
plc-ekambareswarar,loc-kpm,Ekambareswarar Temple,Religious,4.8,3400,0.00,"06:00 - 12:30, 16:00 - 20:30",2026-09-04 00:00:00,2026-09-04 00:00:00,12.8491,79.7003,"Ekambareswarar Temple is a notable religious attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-kamakshi-amman,loc-kpm,Arulmigu Kamakshi Amman Temple,Religious,4.9,4200,0.00,"05:30 - 12:30, 16:00 - 20:30",2026-09-04 00:00:00,2026-09-04 00:00:00,12.8418,79.7047,"Arulmigu Kamakshi Amman Temple is a notable religious attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-varadharaja,loc-kpm,Varadharaja Perumal Temple,Religious,4.8,3100,0.00,"06:00 - 12:30, 15:30 - 20:30",2026-09-04 00:00:00,2026-09-04 00:00:00,12.8338,79.7149,"Varadharaja Perumal Temple is a notable religious attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-vaikunta-perumal,loc-kpm,Vaikunta Perumal Temple,Historical,4.6,1280,0.00,"06:00 - 11:30, 16:00 - 19:30",2026-09-04 00:00:00,2026-09-04 00:00:00,12.8495,79.703,"Vaikunta Perumal Temple is a notable historical attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-ulagalantha,loc-kpm,Ulagalantha Perumal Temple,Religious,4.7,1450,0.00,"06:00 - 12:00, 16:30 - 20:00",2026-09-04 00:00:00,2026-09-04 00:00:00,12.831,79.6966,"Ulagalantha Perumal Temple is a notable religious attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-kanchi-kudil,loc-kpm,Kanchi Kudil Heritage House,Heritage,4.3,620,20.00,09:00 - 17:30,2026-09-04 00:00:00,2026-09-04 00:00:00,12.8401,79.7049,"Kanchi Kudil Heritage House is a notable heritage attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-trilokyanatha,loc-kpm,Trilokyanatha Jain Temple Tiruparuttikundram,Historical,4.5,430,0.00,"06:00 - 11:30, 16:00 - 19:00",2026-09-04 00:00:00,2026-09-04 00:00:00,12.845,79.701,"Trilokyanatha Jain Temple Tiruparuttikundram is a notable historical attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-kachabeswarar,loc-kpm,Kachabeswarar Temple,Religious,4.6,940,0.00,"06:00 - 12:00, 16:30 - 20:00",2026-09-04 00:00:00,2026-09-04 00:00:00,12.84,79.702,"Kachabeswarar Temple is a notable religious attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-kanchi-silk-park,loc-kpm,Kanchipuram Silk Weavers Cooperative Society,Heritage,4.5,1520,0.00,09:30 - 19:30 (Closed Sundays),2026-09-04 00:00:00,2026-09-04 00:00:00,12.8342,79.7036,"Kanchipuram Silk Weavers Cooperative Society is a notable heritage attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-botanical-ooty,loc-nlg,Government Botanical Garden Ooty,Nature,4.6,5400,40.00,07:00 - 18:30,2026-09-04 00:00:00,2026-09-04 00:00:00,11.4147,76.7057,"Government Botanical Garden Ooty is a notable nature attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Feb,1-2 hours,Accessible by taxi/private vehicle; some stretches need trekking,Hotels/guesthouses of various budgets available in and around Nilgiris,Local & multi-cuisine restaurants available in and around Nilgiris
plc-ooty-lake,loc-nlg,Ooty Lake & Boathouse,Nature,4.2,4600,15.00,09:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,11.4096,76.6951,"Ooty Lake & Boathouse is a notable nature attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-doddabetta,loc-nlg,Doddabetta Peak & Telescope House,Nature,4.5,3900,10.00,09:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,11.402,76.7358,"Doddabetta Peak & Telescope House is a notable nature attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Feb,1-2 hours,Accessible by taxi/private vehicle; some stretches need trekking,Hotels/guesthouses of various budgets available in and around Nilgiris,Local & multi-cuisine restaurants available in and around Nilgiris
plc-rose-garden-ooty,loc-nlg,Government Rose Garden Ooty,Nature,4.5,3100,40.00,08:30 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,11.41,76.71,"Government Rose Garden Ooty is a notable nature attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-pykara-falls,loc-nlg,Pykara Waterfalls & Lake,Nature,4.6,2850,20.00,09:30 - 17:30,2026-09-04 00:00:00,2026-09-04 00:00:00,11.4585,76.602,"Pykara Waterfalls & Lake is a notable nature attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-sims-park,loc-nlg,Sim's Park Coonoor,Nature,4.5,2450,30.00,09:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,11.3479,76.799,"Sim's Park Coonoor is a notable nature attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-dolphins-nose,loc-nlg,Dolphin's Nose Viewpoint,Nature,4.4,1980,15.00,09:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,11.3375,76.79,"Dolphin's Nose Viewpoint is a notable nature attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-toy-train,loc-nlg,Nilgiri Mountain Railway (Toy Train),Historical,4.8,3750,50.00,Scheduled Departures,2026-09-04 00:00:00,2026-09-04 00:00:00,11.3421,76.795,"Nilgiri Mountain Railway (Toy Train) is a notable historical attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-tea-museum-ooty,loc-nlg,The Tea Factory & Tea Museum,Museum,4.3,2890,20.00,09:00 - 18:30,2026-09-04 00:00:00,2026-09-04 00:00:00,11.4,76.76,"The Tea Factory & Tea Museum is a notable museum attraction located in Nilgiris, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-avalanche-lake,loc-nlg,Avalanche Lake Sanctuary,Nature,4.7,2150,200.00,09:00 - 15:00 (Forest permit),2026-09-04 00:00:00,2026-09-04 00:00:00,11.37,76.58,"Avalanche Lake Sanctuary is a notable nature attraction located in Nilgiris, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-kodai-lake,loc-dgl,Kodaikanal Lake & Boathouse,Nature,4.5,5100,0.00,06:00 - 18:30,2026-09-04 00:00:00,2026-09-04 00:00:00,10.234,77.4907,"Kodaikanal Lake & Boathouse is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2.0 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-coakers-walk,loc-dgl,Coaker's Walk Kodaikanal,Nature,4.4,4200,30.00,07:00 - 19:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.2286,77.4903,"Coaker's Walk Kodaikanal is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2.0 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-bryant-park,loc-dgl,Bryant Park,Nature,4.3,3100,30.00,09:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.231,77.493,"Bryant Park is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-pillar-rocks,loc-dgl,Pillar Rocks Viewpoint,Nature,4.5,3450,10.00,09:00 - 17:30,2026-09-04 00:00:00,2026-09-04 00:00:00,10.2125,77.4703,"Pillar Rocks Viewpoint is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-silver-cascade,loc-dgl,Silver Cascade Waterfalls,Nature,4.2,2750,0.00,06:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.24,77.48,"Silver Cascade Waterfalls is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-pine-forest,loc-dgl,Pine Forest Kodaikanal,Nature,4.4,2600,10.00,09:00 - 17:30,2026-09-04 00:00:00,2026-09-04 00:00:00,10.206,77.485,"Pine Forest Kodaikanal is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2.0 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-guna-caves,loc-dgl,Guna Caves (Devil's Kitchen),Nature,4.3,2100,10.00,09:00 - 16:30,2026-09-04 00:00:00,2026-09-04 00:00:00,10.217,77.475,"Guna Caves (Devil's Kitchen) is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-mannavanur,loc-dgl,Mannavanur Eco Village & Lake,Nature,4.7,1650,20.00,09:00 - 17:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.19,77.426,"Mannavanur Eco Village & Lake is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-dindigul-fort,loc-dgl,Dindigul Rock Fort,Historical,4.5,1420,25.00,09:00 - 17:30,2026-09-04 00:00:00,2026-09-04 00:00:00,10.375,77.965,"Dindigul Rock Fort is a notable historical attraction located in Dindigul, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-sirumalai-hills,loc-dgl,Sirumalai Hills Viewpoint,Nature,4.4,980,0.00,06:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.28,78.01,"Sirumalai Hills Viewpoint is a notable nature attraction located in Dindigul, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-vivekananda-rock,loc-kkm,Vivekananda Rock Memorial,Historical,4.8,6100,50.00,08:00 - 16:30,2026-09-04 00:00:00,2026-09-04 00:00:00,8.0783,77.5536,"Vivekananda Rock Memorial is a notable historical attraction located in Kanyakumari, popular among visitors exploring the region.",Oct-Feb,2-3 hours,Accessible by local bus/auto/taxi,Hotels/guesthouses of various budgets available in and around Kanyakumari,Local & multi-cuisine restaurants available in and around Kanyakumari
plc-thiruvalluvar-statue,loc-kkm,Thiruvalluvar Statue,Monument,4.7,4800,20.00,08:00 - 16:30,2026-09-04 00:00:00,2026-09-04 00:00:00,8.078,77.552,"Thiruvalluvar Statue is a notable monument attraction located in Kanyakumari, popular among visitors exploring the region.",Oct-Feb,2-3 hours,Accessible by local bus/auto/taxi from the nearest town centre,Hotels/guesthouses of various budgets available in and around Kanyakumari,Local & multi-cuisine restaurants available in and around Kanyakumari
plc-triveni-sangam,loc-kkm,Kanyakumari Triveni Sangam Beach,Beach,4.6,3900,0.00,24 Hours (Best: 05:30 - 07:00 & 17:30 - 19:00),2026-09-04 00:00:00,2026-09-04 00:00:00,8.0784,77.5504,"India's southernmost tip, where the Arabian Sea, Bay of Bengal and Indian Ocean meet.",Oct-Mar,Half day,Bus/Train/Flight (Trivandrum ~90 km),Hotels and guesthouses across budgets,South Indian & seafood restaurants
plc-padmanabhapuram,loc-kkm,Padmanabhapuram Palace,Heritage,4.7,2900,40.00,09:00 - 16:30 (Closed Mondays),2026-09-04 00:00:00,2026-09-04 00:00:00,8.2424,77.327,"Padmanabhapuram Palace is a notable heritage attraction located in Kanyakumari, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-bhagavathy-temple,loc-kkm,Arulmigu Bhagavathy Amman Temple,Religious,4.8,3250,0.00,"04:30 - 12:30, 16:00 - 20:30",2026-09-04 00:00:00,2026-09-04 00:00:00,8.0784,77.5504,"Arulmigu Bhagavathy Amman Temple is a notable religious attraction located in Kanyakumari, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-gandhi-mandapam,loc-kkm,Mahatma Gandhi Memorial Mandapam,Historical,4.4,1850,5.00,07:00 - 19:00,2026-09-04 00:00:00,2026-09-04 00:00:00,8.0772,77.5524,"Mahatma Gandhi Memorial Mandapam is a notable historical attraction located in Kanyakumari, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-vattakottai,loc-kkm,Vattakottai Circular Seaside Fort,Historical,4.5,2100,25.00,08:00 - 17:30,2026-09-04 00:00:00,2026-09-04 00:00:00,8.13,77.48,"Vattakottai Circular Seaside Fort is a notable historical attraction located in Kanyakumari, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-suchindram,loc-kkm,Thanumalayan Temple Suchindram,Religious,4.8,2750,0.00,"04:30 - 11:30, 17:00 - 20:30",2026-09-04 00:00:00,2026-09-04 00:00:00,8.152,77.468,"Thanumalayan Temple Suchindram is a notable religious attraction located in Kanyakumari, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-mathur-aqueduct,loc-kkm,Mathur Aqueduct Hanging Bridge,Historical,4.4,1420,10.00,07:00 - 18:30,2026-09-04 00:00:00,2026-09-04 00:00:00,8.4,77.37,"Mathur Aqueduct Hanging Bridge is a notable historical attraction located in Kanyakumari, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-chothavilai,loc-kkm,Chothavilai Beach,Beach,4.4,1280,0.00,24 Hours (Best: 16:00 - 19:00),2026-09-04 00:00:00,2026-09-04 00:00:00,8.2,77.52,"Chothavilai Beach is a notable beach attraction located in Kanyakumari, popular among visitors exploring the region.",Nov-Feb,2-3 hours,Accessible by auto/taxi; well connected to the city centre,Beachfront resorts and budget guesthouses nearby,Seafood shacks and multi-cuisine restaurants nearby
plc-srirangam,loc-try,Sri Ranganathaswamy Temple Srirangam,Religious,4.9,5600,0.00,06:00 - 21:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.8625,78.6869,"Sri Ranganathaswamy Temple Srirangam is a notable religious attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-rockfort,loc-try,Ucchi Pillayar Rockfort Temple,Religious,4.8,4100,10.00,06:00 - 20:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.805,78.6968,"Ucchi Pillayar Rockfort Temple is a notable religious attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-thiruvanaikaval,loc-try,Jambukeswarar Temple Thiruvanaikaval,Religious,4.8,3200,0.00,"06:00 - 13:00, 15:30 - 21:00",2026-09-04 00:00:00,2026-09-04 00:00:00,10.8558,78.7056,"Jambukeswarar Temple Thiruvanaikaval is a notable religious attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-butterfly-park,loc-try,Tropical Butterfly Park Srirangam,Nature,4.3,1850,15.00,09:00 - 17:30 (Closed Tuesdays),2026-09-04 00:00:00,2026-09-04 00:00:00,10.863,78.686,"Tropical Butterfly Park Srirangam is a notable nature attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-lourdu-church,loc-try,St. Lourdes Church Trichy,Religious,4.6,1420,0.00,06:00 - 19:30,2026-09-04 00:00:00,2026-09-04 00:00:00,10.796,78.683,"St. Lourdes Church Trichy is a notable religious attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-samayapuram,loc-try,Arulmigu Samayapuram Mariamman Temple,Religious,4.8,3900,0.00,05:00 - 21:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.87,78.7267,"Arulmigu Samayapuram Mariamman Temple is a notable religious attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-museum-trichy,loc-try,Government Museum Rani Mangammal Mahal,Museum,4.2,640,10.00,09:30 - 17:00 (Closed Fridays),2026-09-04 00:00:00,2026-09-04 00:00:00,10.81,78.69,"Government Museum Rani Mangammal Mahal is a notable museum attraction located in Tiruchirappalli, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-vayalur-murugan,loc-try,Vayalur Murugan Temple,Religious,4.7,1750,0.00,"06:00 - 13:00, 15:30 - 21:00",2026-09-04 00:00:00,2026-09-04 00:00:00,10.75,78.75,"Vayalur Murugan Temple is a notable religious attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-mukkombu,loc-try,Mukkombu Upper Anaicut Park,Nature,4.2,2150,10.00,08:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,10.888,78.767,"Mukkombu Upper Anaicut Park is a notable nature attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-gunaseelam,loc-try,Gunaseelam Prasanna Venkatachalapathy Temple,Religious,4.7,1320,0.00,"06:30 - 12:30, 16:00 - 20:30",2026-09-04 00:00:00,2026-09-04 00:00:00,10.89,78.65,"Gunaseelam Prasanna Venkatachalapathy Temple is a notable religious attraction located in Tiruchirappalli, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-rameshwaram-temple,loc-rmd,Arulmigu Ramanathaswamy Temple,Religious,4.9,5900,0.00,"05:00 - 13:00, 15:00 - 21:00",2026-09-04 00:00:00,2026-09-04 00:00:00,9.2885,79.3173,"Arulmigu Ramanathaswamy Temple is a notable religious attraction located in Ramanathapuram, popular among visitors exploring the region.",Oct-Mar,1.5 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-agni-theertham,loc-rmd,Agni Theertham Holy Seashore,Beach,4.6,3400,0.00,05:00 - 19:00,2026-09-04 00:00:00,2026-09-04 00:00:00,9.2878,79.3198,"Agni Theertham Holy Seashore is a notable beach attraction located in Ramanathapuram, popular among visitors exploring the region.",Nov-Feb,2-3 hours,Accessible by auto/taxi; well connected to the city centre,Beachfront resorts and budget guesthouses nearby,Seafood shacks and multi-cuisine restaurants nearby
plc-dhanushkodi,loc-rmd,Dhanushkodi Ghost Town & Beach,Beach,4.8,4750,0.00,07:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,9.172,79.4162,"Dhanushkodi Ghost Town & Beach is a notable beach attraction located in Ramanathapuram, popular among visitors exploring the region.",Nov-Feb,2-3 hours,Accessible by auto/taxi; well connected to the city centre,Beachfront resorts and budget guesthouses nearby,Seafood shacks and multi-cuisine restaurants nearby
