id,location_id,name,category,avg_rating,review_count,entry_fee,opening_hours,created_at,updated_at,latitude,longitude,description,best_season,avg_visit_time,transport,nearby_hotels,nearby_restaurants
plc-croc-bank,loc-chn,Madras Crocodile Bank Trust,Nature,4.5,2380,60,09:00 - 17:30 (Closed Mondays),04-09-2026 00:00,04-09-2026 00:00,12.78,80.239,"Madras Crocodile Bank Trust is a notable nature attraction located in Chennai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-vivekananda-house,loc-chn,Vivekananda House (Illam),Historical,4.6,1450,20,"10:00 - 12:30, 15:00 - 19:15",04-09-2026 00:00,04-09-2026 00:00,13.0447,80.2789,"Vivekananda House (Illam) is a notable historical attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-muttukadu,loc-chn,Muttukadu Boat House,Nature,4.1,1760,20,09:00 - 17:30,04-09-2026 00:00,04-09-2026 00:00,12.8227,80.2419,"Muttukadu Boat House is a notable nature attraction located in Chennai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-cholamandal,loc-chn,Cholamandal Artists' Village,Heritage,4.3,640,20,09:30 - 18:30,04-09-2026 00:00,04-09-2026 00:00,12.92222,80.25194,"Cholamandal Artists' Village is a notable heritage attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-chetpet-eco-park,loc-chn,Chetpet Eco Park,Nature,4.2,1320,25,09:00 - 18:00 (Closed Tuesdays),04-09-2026 00:00,04-09-2026 00:00,13.07412,80.24238,"Chetpet Eco Park is a notable nature attraction located in Chennai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-thiruvanmiyur-beach,loc-chn,Thiruvanmiyur Beach,Beach,4.4,1890,0,24 Hours (Best: 05:30 - 08:30 & 16:30 - 20:30),04-09-2026 00:00,04-09-2026 00:00,12.9736,80.2665,"Thiruvanmiyur Beach is a notable beach attraction located in Chennai, popular among visitors exploring the region.",Nov-Feb,2-3 hours,Accessible by auto/taxi; well connected to the city centre,Beachfront resorts and budget guesthouses nearby,Seafood shacks and multi-cuisine restaurants nearby
plc-kalikambal,loc-chn,Kalikambal Temple George Town,Religious,4.7,1630,0,"06:00 - 12:00, 16:30 - 21:00",04-09-2026 00:00,04-09-2026 00:00,13.0872,80.2889,"Kalikambal Temple George Town is a notable religious attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-thousand-lights,loc-chn,Thousand Lights Mosque,Religious,4.5,890,0,05:30 - 20:30,04-09-2026 00:00,04-09-2026 00:00,13.0547,80.2422,"Thousand Lights Mosque is a notable religious attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-anna-nagar-tower,loc-chn,Anna Nagar Tower Park,Nature,4.3,2840,0,"05:30 - 10:30, 16:00 - 20:30",04-09-2026 00:00,04-09-2026 00:00,13.08678,80.21435,"Anna Nagar Tower Park is a notable nature attraction located in Chennai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-adiyogi-cbe,loc-cbe,Adiyogi Shiva Statue Isha,Historical,4.8,4850,0,06:00 - 20:00,04-09-2026 00:00,04-09-2026 00:00,10.97242,76.7406,"Adiyogi Shiva Statue Isha is a notable historical attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-marudhamalai,loc-cbe,Marudhamalai Murugan Temple,Religious,4.8,3200,0,"06:00 - 13:00, 14:00 - 20:30",04-09-2026 00:00,04-09-2026 00:00,11.04611,76.85194,"Marudhamalai Murugan Temple is a notable religious attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-dhyanalinga,loc-cbe,Dhyanalinga Yogic Temple,Religious,4.8,2900,0,06:00 - 20:00,04-09-2026 00:00,04-09-2026 00:00,10.9724,76.7406,"Dhyanalinga Yogic Temple is a notable religious attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-eachanari,loc-cbe,Eachanari Vinayagar Temple,Religious,4.7,1950,0,05:00 - 22:00,04-09-2026 00:00,04-09-2026 00:00,11.0167,76.9667,"Eachanari Vinayagar Temple is a notable religious attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-perur-temple,loc-cbe,Perur Pateeswarar Temple,Religious,4.7,2100,0,"05:30 - 13:00, 16:00 - 21:00",04-09-2026 00:00,04-09-2026 00:00,10.97583,76.91472,"Perur Pateeswarar Temple is a notable religious attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-gedee-museum,loc-cbe,Gedee Car Museum,Museum,4.6,1820,75,09:00 - 18:30 (Closed Mondays),04-09-2026 00:00,04-09-2026 00:00,11.00664,76.97793,"Gedee Car Museum is a notable museum attraction located in Coimbatore, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-gass-museum,loc-cbe,Gass Forest Museum,Museum,4.4,720,20,"09:00 - 13:00, 14:00 - 17:30",04-09-2026 00:00,04-09-2026 00:00,11.01361,76.94583,"Gass Forest Museum is a notable museum attraction located in Coimbatore, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-voc-park,loc-cbe,V.O.C. Park and Zoo,Nature,4.1,1940,15,10:00 - 18:00 (Closed Tuesdays),04-09-2026 00:00,04-09-2026 00:00,11.0167,76.9667,"V.O.C. Park and Zoo is a notable nature attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-siruvani-falls,loc-cbe,Siruvani Waterfalls,Nature,4.5,2340,50,10:00 - 15:30 (Forest checkpost),04-09-2026 00:00,04-09-2026 00:00,11.0333,76.8833,"Siruvani Waterfalls is a notable nature attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-monkey-falls,loc-cbe,Monkey Falls Pollachi,Nature,4.4,1880,30,09:00 - 17:00,04-09-2026 00:00,04-09-2026 00:00,10.4595,76.9683,"Monkey Falls Pollachi is a notable nature attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-aliyar-dam,loc-cbe,Aliyar Dam & Garden,Nature,4.3,1650,20,09:00 - 18:00,04-09-2026 00:00,04-09-2026 00:00,10.4739,76.9728,"Aliyar Dam & Garden is a notable nature attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-valparai,loc-cbe,Valparai Tea Plateaus,Nature,4.7,2950,0,24 Hours (Scenic transit),04-09-2026 00:00,04-09-2026 00:00,10.32756,76.95527,"Valparai Tea Plateaus is a notable nature attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-masani-amman,loc-cbe,Masani Amman Temple Anaimalai,Religious,4.7,1850,0,06:00 - 20:00,04-09-2026 00:00,04-09-2026 00:00,10.4167,76.9333,"Masani Amman Temple Anaimalai is a notable religious attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-topslip,loc-cbe,Topslip Tiger Reserve,Nature,4.5,1420,100,07:00 - 16:00,04-09-2026 00:00,04-09-2026 00:00,10.4333,76.9,"Topslip Tiger Reserve is a notable nature attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-singanallur-lake,loc-cbe,Singanallur Lake Eco Park,Nature,4.2,950,0,"06:00 - 09:00, 16:30 - 18:30",04-09-2026 00:00,04-09-2026 00:00,11.05,76.9833,"Singanallur Lake Eco Park is a notable nature attraction located in Coimbatore, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-meenakshi-temple,loc-mdu,Arulmigu Meenakshi Amman Temple,Religious,4.9,5200,0,"05:00 - 12:30, 16:00 - 22:00",04-09-2026 00:00,04-09-2026 00:00,9.91972,78.11944,Historic Dravidian-style temple with intricately carved gopurams dedicated to Meenakshi.,Oct-Mar,2-3 hours,Bus/Train/Flight (Madurai airport),Hotels of all categories in Madurai city,South Indian & traditional Chettinad restaurants
plc-thirumalai-mahal,loc-mdu,Thirumalai Nayakkar Mahal,Historical,4.6,3100,20,09:00 - 17:00 (Light show 18:45),04-09-2026 00:00,04-09-2026 00:00,9.9148,78.1243,"Thirumalai Nayakkar Mahal is a notable historical attraction located in Madurai, popular among visitors exploring the region.",Oct-Feb,2-3 hours,Accessible by local bus/auto/taxi,Hotels/guesthouses of various budgets available in and around Madurai,Local & multi-cuisine restaurants available in and around Madurai
plc-gandhi-museum,loc-mdu,Gandhi Memorial Museum,Museum,4.5,1890,0,"10:00 - 13:00, 14:00 - 17:30",04-09-2026 00:00,04-09-2026 00:00,9.9252,78.1198,"Gandhi Memorial Museum is a notable museum attraction located in Madurai, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-alagar-kovil,loc-mdu,Alagar Kovil Kallazhagar Temple,Religious,4.7,2600,0,"06:00 - 12:30, 15:30 - 20:00",04-09-2026 00:00,04-09-2026 00:00,9.9667,78.1833,"Alagar Kovil Kallazhagar Temple is a notable religious attraction located in Madurai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-thiruparankundram,loc-mdu,Thiruparankundram Murugan Temple,Religious,4.8,2450,0,"05:30 - 13:00, 16:00 - 21:00",04-09-2026 00:00,04-09-2026 00:00,9.8823,78.072,"Thiruparankundram Murugan Temple is a notable religious attraction located in Madurai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-teppakulam,loc-mdu,Vandiyur Mariamman Teppakulam,Historical,4.4,1420,0,06:00 - 21:00,04-09-2026 00:00,04-09-2026 00:00,9.9104,78.148,"Vandiyur Mariamman Teppakulam is a notable historical attraction located in Madurai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-pazhamudhircholai,loc-mdu,Pazhamudhircholai Murugan Temple,Religious,4.7,1920,0,06:00 - 18:00,04-09-2026 00:00,04-09-2026 00:00,10.09407,78.22345,"Pazhamudhircholai Murugan Temple is a notable religious attraction located in Madurai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-koodal-azhagar,loc-mdu,Koodal Azhagar Temple,Religious,4.7,1250,0,"06:00 - 12:00, 16:30 - 21:00",04-09-2026 00:00,04-09-2026 00:00,9.9167,78.1083,"Koodal Azhagar Temple is a notable religious attraction located in Madurai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-samanar-hills,loc-mdu,Samanar Hills Jain Caves,Historical,4.5,980,0,06:00 - 18:00,04-09-2026 00:00,04-09-2026 00:00,9.9667,78.0333,"Samanar Hills Jain Caves is a notable historical attraction located in Madurai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-st-marys-mdu,loc-mdu,St. Mary's Cathedral Church,Religious,4.5,840,0,07:00 - 19:00,04-09-2026 00:00,04-09-2026 00:00,9.91342,78.12575,"St. Mary's Cathedral Church is a notable religious attraction located in Madurai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-kazimar-mosque,loc-mdu,Kazimar Big Mosque & Maqbara,Religious,4.6,710,0,05:00 - 21:00,04-09-2026 00:00,04-09-2026 00:00,9.91275,78.1142,"Kazimar Big Mosque & Maqbara is a notable religious attraction located in Madurai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-keeladi-museum,loc-mdu,Keeladi Archaeological Museum,Museum,4.8,2100,15,09:00 - 17:00,04-09-2026 00:00,04-09-2026 00:00,9.8794,78.1154,"Keeladi Archaeological Museum is a notable museum attraction located in Madurai, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-vaigai-dam,loc-mdu,Vaigai Dam & Garden,Nature,4.3,1670,10,06:00 - 18:00,04-09-2026 00:00,04-09-2026 00:00,10.0167,78.0833,"Vaigai Dam & Garden is a notable nature attraction located in Madurai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-maratha-palace,loc-tnj,Thanjavur Maratha Palace,Historical,4.5,2350,50,09:00 - 18:00,04-09-2026 00:00,04-09-2026 00:00,10.7964,79.1458,"Thanjavur Maratha Palace is a notable historical attraction located in Thanjavur, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-saraswathi-mahal,loc-tnj,Saraswathi Mahal Library,Museum,4.5,1420,10,10:00 - 17:30 (Closed Wednesdays),04-09-2026 00:00,04-09-2026 00:00,10.79139,79.13611,"Saraswathi Mahal Library is a notable museum attraction located in Thanjavur, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-rajaraja-gallery,loc-tnj,Rajaraja Chola Art Gallery,Heritage,4.6,1180,30,"09:00 - 13:00, 15:00 - 18:00",04-09-2026 00:00,04-09-2026 00:00,10.7964,79.1458,"Rajaraja Chola Art Gallery is a notable heritage attraction located in Thanjavur, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-schwartz-church,loc-tnj,Schwartz Church,Religious,4.4,620,0,09:00 - 17:00,04-09-2026 00:00,04-09-2026 00:00,10.7979,79.1486,"Schwartz Church is a notable religious attraction located in Thanjavur, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-sivaganga-park,loc-tnj,Sivaganga Park & Little Fort,Nature,4.1,1390,15,09:00 - 20:00,04-09-2026 00:00,04-09-2026 00:00,10.7979,79.1486,"Sivaganga Park & Little Fort is a notable nature attraction located in Thanjavur, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-punnainallur,loc-tnj,Punnainallur Mariamman Temple,Religious,4.7,1980,0,06:00 - 21:00,04-09-2026 00:00,04-09-2026 00:00,10.7667,79.1333,"Punnainallur Mariamman Temple is a notable religious attraction located in Thanjavur, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-airavatesvara,loc-tnj,Airavatesvara Temple Darasuram,Heritage,4.8,2150,0,"06:30 - 12:00, 16:00 - 20:30",04-09-2026 00:00,04-09-2026 00:00,10.9484,79.3567,"Airavatesvara Temple Darasuram is a notable heritage attraction located in Thanjavur, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-gangaikonda,loc-tnj,Gangaikonda Cholapuram Temple,Historical,4.8,1870,0,"06:00 - 12:30, 16:00 - 20:30",04-09-2026 00:00,04-09-2026 00:00,11.20623,79.44889,"Gangaikonda Cholapuram Temple is a notable historical attraction located in Thanjavur, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
