id,name,state,country,currency_code,description,latitude,longitude,region,created_at,updated_at
loc-kru,Karur,Tamil Nadu,India,INR,"River Amaravathi textile town famed as India's home-furnishing export hub, with the riverside Pasupatheeswarar Temple and vibrant bus-body building industry.",10.9601,78.0766,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-krg,Krishnagiri,Tamil Nadu,India,INR,"Fruit and granite belt bordering Karnataka, celebrated for mango orchards, the hilltop Rayakottai Fort, and the fast-growing industrial town of Hosur.",12.5266,78.215,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-mdu,Madurai,Tamil Nadu,India,INR,"One of the oldest continuously inhabited cities, renowned for the architectural wonder Meenakshi Amman Temple and its vibrant night food culture.",9.9252,78.1198,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-myd,Mayiladuthurai,Tamil Nadu,India,INR,Cauvery delta region renowned for historic Chola-era temples and the coastal heritage town of Tharangambadi (Tranquebar) with Fort Dansborg.,11.1035,79.6547,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-ngp,Nagapattinam,Tamil Nadu,India,INR,Coastal district holding major pilgrimage sites including the Basilica of Our Lady of Good Health in Velankanni and the Nagore Dargah shrine.,10.7672,79.8449,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-nmk,Namakkal,Tamil Nadu,India,INR,"Poultry and road-transport capital of Tamil Nadu, home to the rock-cut Namakkal Fort, Anjaneyar Temple, and Kolli Hills nearby.",11.2189,78.1677,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-nlg,Nilgiris,Tamil Nadu,India,INR,"Scenic hill district encompassing Ooty, Coonoor, and Kotagiri, celebrated for tea plantations, cool climate, and the Nilgiri Mountain Railway.",11.4102,76.695,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-prm,Perambalur,Tamil Nadu,India,INR,"Compact agrarian district known for cement manufacturing plants, cotton farming, and quiet countryside on the Trichy-Chennai rail corridor.",11.2342,78.8807,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-pdk,Pudukkottai,Tamil Nadu,India,INR,"Land of rock-cut cave temples, home to the Sittanavasal Jain caves, Thirumayam Fort, and the historic Kodumbalur temple cluster.",10.3813,78.8213,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-rmd,Ramanathapuram,Tamil Nadu,India,INR,"Coastal pilgrimage hub encompassing the island of Rameswaram, Ramanathaswamy Temple corridors, and the ghost town of Dhanushkodi.",9.3639,78.8395,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-rnp,Ranipet,Tamil Nadu,India,INR,"Leather-tanning industrial district carved from Vellore, anchored by the historic Arcot town and the hilltop Sholinghur Narasimha temples.",12.9249,79.3308,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-slm,Salem,Tamil Nadu,India,INR,"Surrounded by hills, Salem is known for silver craft, steel production, and as the gateway to the quiet hill station of Yercaud in the Shevaroy range.",11.6643,78.146,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-svg,Sivaganga,Tamil Nadu,India,INR,"Heritage region famous for Chettinad culture, sprawling 19th-century palatial mansions, handloom Athangudi tiles, and distinct regional cuisine.",9.8433,78.4809,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tks,Tenkasi,Tamil Nadu,India,INR,Known as the spa town of South India due to the therapeutic mineral waterfalls of Courtallam and historic Kasiviswanathar Temple.,8.9598,77.3152,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tnj,Thanjavur,Tamil Nadu,India,INR,"The cultural heart of the Chola empire, home to the UNESCO World Heritage Brihadisvara Temple, Tanjore paintings, and rich bronze casting heritage.",10.787,79.1378,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tni,Theni,Tamil Nadu,India,INR,"Lush green valley nestled in the Western Ghats, celebrated for the cloud-covered tea estates of Meghamalai and Suruli waterfalls.",10.0104,77.4768,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tut,Thoothukudi,Tamil Nadu,India,INR,"The Pearl City, recognized for its historic seaport, salt pans, coastal churches like Our Lady of Snows Basilica, and Tiruchendur Murugan Temple.",8.7642,78.1348,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-try,Tiruchirappalli,Tamil Nadu,India,INR,"Historic city along the Kaveri river, prominent for the ancient Rockfort Temple perched on an 83-meter rock and the massive Sri Ranganathaswamy Temple complex.",10.7905,78.7047,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tnv,Tirunelveli,Tamil Nadu,India,INR,"Ancient city along the Thamirabarani river, noted for the Nellaiappar Temple, regional halwa, and proximity to scenic Western Ghat waterfalls.",8.7139,77.7567,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tpt,Tirupathur,Tamil Nadu,India,INR,"Youngest of the newly carved districts, known for the cool Yelagiri hill station, silk weaving, and leather processing units.",12.495,78.5686,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tpr,Tiruppur,Tamil Nadu,India,INR,"India's knitwear and garment export capital on the Noyyal river, often called the 'Banian City' for its dense hosiery manufacturing cluster.",11.1085,77.3411,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tvl,Tiruvallur,Tamil Nadu,India,INR,"Industrial belt bordering Chennai, home to the Poondi reservoir supplying the capital's water, Sriperumbudur's EV/electronics corridor, and Thiruvallur's Veeraraghava Temple.",13.1231,79.912,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tvm,Tiruvannamalai,Tamil Nadu,India,INR,"A major spiritual destination centered around the sacred Arunachala hill and the Annamalaiyar Temple, famous for Girivalam circumambulation.",12.2253,79.0747,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-tvr,Tiruvarur,Tamil Nadu,India,INR,"Cauvery delta district and birthplace of the Carnatic music Trinity, celebrated for the Thyagaraja Aradhana festival and the ancient Thyagarajaswamy Temple.",10.7661,79.6345,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-vel,Vellore,Tamil Nadu,India,INR,"Historical city featuring the 16th-century stone Vellore Fort, Jalakandeswarar Temple, and the Golden Temple (Sripuram) in Malaikodi.",12.9165,79.1325,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-vlp,Viluppuram,Tamil Nadu,India,INR,"Major railway junction town and agrarian district gateway to Gingee Fort, with the Thiruvakkarai fossil wood forest nearby.",11.9401,79.4861,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-vdn,Virudhunagar,Tamil Nadu,India,INR,"Fireworks and match-industry capital of India centered on Sivakasi, also known for offset printing and dry cotton farming.",9.585,77.9624,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
